mass	pressure	temperature	radius	density	specificenergy	dm
1.924823566234546e+33	320712604770.655	474910.2712674543	61073963963.96397	0.004988558290996217	96473030211447.48	1.6075521194495634e+28
1.9248074907133515e+33	332870920614.3798	479348.6620741415	61004324324.32433	0.00512973490687021	97374642655501.39	1.6494424663100388e+28
1.9247909962886883e+33	345400557712.7992	483797.159161167	60934684684.68469	0.005273880747517895	98278308084187.08	1.6920880544377975e+28
1.924774075408144e+33	358310396309.375	488255.7961774065	60865045045.04505	0.005421039683847857	99184033332920.03	1.7354968363577728e+28
1.9247567204397805e+33	371609480998.13226	492724.60690571315	60795405405.40541	0.005571256051262299	100091825264331.81	1.7796767997636225e+28
1.9247389236717828e+33	385307023203.559	497203.6252634331	60725765765.76577	0.005724574654351248	101001690768374.75	1.824635967687237e+28
1.924720677312106e+33	399412403695.42303	501692.8853029165	60656126126.12613	0.005881040771634264	101913636762425.98	1.8703823986627505e+28
1.9247019734881195e+33	413935175139.0257	506192.4212120364	60586486486.48649	0.0060407001603505865	102827670191392.5	1.9169241868981655e+28
1.9246828042462504e+33	428885064681.3339	510702.26731470064	60516846846.846855	0.006203599061297655	103743798027815.48	1.9642694624395924e+28
1.924663161551626e+33	444271976573.5535	515222.4580713778	60447207207.207214	0.006369784203719272	104662027271976.95	2.012426391345192e+28
1.9246430372877124e+33	460105994830.55347	519753.02807960904	60377567567.56757	0.006539302810242893	105582364952003.7	2.0614031758477877e+28
1.924622423255954e+33	476397385927.7528	524294.0120745364	60307927927.92793	0.006712202601867661	106504818123974.8	2.1112080545310542e+28
1.9246013111754087e+33	493156601535.8967	528845.4449294215	60238288288.28829	0.006888531803002756	107429393872026.88	2.16184930249435e+28
1.9245796926823838e+33	510394281294.3039	533407.3616561724	60168648648.64865	0.007068339146557183	108356099308460.98	2.213335231526212e+28
1.9245575593300685e+33	528121255623.084	537979.7974058677	60099009009.00902	0.007251673879081215	109284941573849.31	2.265674190273229e+28
1.9245349025881656e+33	546348548574.894	542562.7874692891	60029369369.36938	0.007438585765960338	110215927837143.3	2.3188745644143683e+28
1.9245117138425214e+33	565087380726.7104	547156.3672774428	59959729729.72974	0.007629125096661527	111149065295779.42	2.372944776826348e+28
1.9244879843947532e+33	584349172112.2738	551760.5724020972	59890090090.090096	0.007823342690033482	112084361175788.56	2.427893287762877e+28
1.9244637054618755e+33	604145545195.6572	556375.4385563091	59820450450.450455	0.008021289899660241	113021822731902.92	2.483728595020615e+28
1.9244388681759252e+33	624488327886.6158	561001.0015949626	59750810810.810814	0.008223018619269665	113961457247665.28	2.540459234116985e+28
1.924413463583584e+33	645389556598.2191	565637.2975152993	59681171171.17117	0.008428581288196572	114903272035537.0	2.598093778458045e+28
1.9243874826457993e+33	666861479347.4122	570284.3624574585	59611531531.53154	0.008638030896901747	115847274437007.52	2.6566408395165804e+28
1.924360916237404e+33	688916558899.0447	574942.232705013	59541891891.8919	0.008851420992546865	116793471822703.27	2.716109067002132e+28
1.924333755146734e+33	711567475954.0034	579610.9446855098	59472252252.25226	0.009068805684626263	117741871592497.58	2.7765071490368308e+28
1.9243059900752437e+33	734827132382.0237	584290.5349710081	59402612612.61262	0.009290239650655828	118692481175619.94	2.8378438123275152e+28
1.9242776116371204e+33	758708654499.8452	588981.0402786263	59332972972.97298	0.00951577814192008	119645308030767.0	2.9001278223441675e+28
1.924248610358897e+33	783225396395.2593	593682.4974710809	59263333333.333336	0.009745476989277288	120600359646212.17	2.963367983489258e+28
